category,id,name,description,source_papers,notes
related_work,RW055,SSA CompCert,Formal verification of an SSA-based middle-end for Compert,055,§3.3 Interactive theorem proving
related_work,RW056,Well-founded Recursion,Well-founded recursion with copatterns and sized types,056,§3.3 Interactive theorem proving
related_work,RW071,SteelCore,Extensible concurrent separation logic for effectful dependently typed programs,071,§3.3 Interactive theorem proving
related_work,RW082,Iris,Modular foundation for higher-order concurrent separation logic,082,§3.3 Interactive theorem proving
related_work,RW083,Separation Logic,A logic for shared mutable data structures,083,§3.3 Interactive theorem proving
related_work,RW006,Rust Prusti-style,Leveraging Rust types for modular specification and verification,006,§3.4 Rust / systems verification
related_work,RW031,Aeneas,Rust verification by functional translation,031,§3.4 Rust / systems verification
related_work,RW032,Flux,Liquid types for Rust,032,§3.4 Rust / systems verification
related_work,RW043,RustHorn,CHC-based verification for Rust programs,043,$3.4 Rust / systems verification
related_work,RW046,Lightweight Rust Lifetimes,Lightweight formalism for reference lifetimes and borrowing in Rust,046,§3.4 Rust / systems verification
related_work,RW001,Refactoring Class Diagrams,On proving the correctness of refactoring class diagrams of MDE metamodels,001,83.5 Refactoring and semantics-preserving transformations
related_work,RW002,Survey of Software Refactoring,Mens and Tourwe survey of software refactoring,002,$3.5 Refactoring and semantics-preserving transformations
related_work,RW003,Prioritize Code Smells,Approach to prioritize code smells for refactoring,003,$3.5 Refactoring and semantics-preserving transformations
related_work,RW077,Refactoring in the Wild,Study of refactoring decisions in open source projects,077,§3.5 Refactoring and semantics-preserving transformations
related_work,RW078,Large-Scale Refactoring,Large-scale study on the usage of refactoring operations,078,$3.5 Refactoring and semantics-preserving transformations
related_work,RW004,APR Survey,Automatic software repair: a survey (Monperrus),004,§ 3.6 Automated program repair
related_work,RW080,Test-Suite Augmentation,Test-suite augmentation for improved fault localization,080,53.6 Automated program repair
related_work,RW095,APR with Pretrained LMs,Automated program repair with pretrained language models,095,§3.6 Automated program repair
related_work,RW015,LLM Safety Verification Survey,Survey of safety and trustworthiness of LLMs through verification and validation,015,§3.7 LLM-assisted code and proof generation
related_work,RW090,CodeBERT,Pre-trained model for programming and natural languages,090,$3.7 LLM-assisted code and proof generation
related_work,RW091,GraphCodeBERT,Pre-training code representations with data flow,091,83.7 LLM-assisted code and proof generation
related_work,RW092,InCoder,Generative model for code infilling and synthesis,092,§3.7 LLM-assisted code and proof generation
related_work,RW093,AlphaCode,Using Al to write competitive programming solutions,093,§3.7 LLM-assisted code and proof generation
related_work,RW094,Program Synthesis with LLMs,Program synthesis with large language models,094,$3.7 LLM- assisted code and proof generation
related_work,RW009,Interaction Trees,Representing recursive and impure programs in Coq,009,"$3.8 Program synthesis, equivalence, and alignment"
related_work,RW048,Heap-Manipulating Synthesis,Structuring the synthesis of heap-manipulating programs,048,"$3.8 Program synthesis, equivalence, and alignment"
related_work,RW065,egg Equality Saturation,Fast and extensible equality saturation,065,"83.8 Program synthesis, equivalence, and alignment"
related_work,RW038,Refinement Types Secure,Refinement types for secure implementations,038,"$3.9 Software evolution, empirical methodology"
related_work,RW039,Ott,Effective tool support for the working semanticist,039,"§3.9 Software evolution, empirical methodology"
related_work,RW041,Case Study Guidelines,Guidelines for conducting and reporting case study research in SE,041,"83.9 Software evolution, empirical methodology"
related_work,RW050,Co-evolution of Code and Tests,", Studying co-evolution of production and test code via repository mining",050,"83.9 Software evolution, empirical methodology"
related_work,RW057,Dynamic Software Updating,Foundations for dynamic software updating,057,"§3.9 Software evolution, empirical methodology"
related_work,RW072,Liquid Haskell Typeclass Refinements,Verifying replicated data types with typeclass refinements in Liquid Haskell,072,"$3.9 Software evolution, empirical methodology"
related_work,RW076,Technical Debt,Empirical study of technical debt in open source projects,076,"$3.9 Software evolution, empirical methodology"
related_work,RW079,Software Analytics,Software analytics in practice: a case study,079,"$3.9 Software evolution, empirical methodology™"
related_work,RW081,Mining Software Repos,Mining software repositories to support software maintenance,081,"$3.9 Software evolution, empirical methodology"
